repetition,function,type,latency_ms,success
1,UpdateTelemetry,invoke,3767,true
1,AssignServiceRole,invoke,4075,true
1,RevokeServiceRole,invoke,2547,true
1,AssignBlockchainRole,invoke,5611,true
1,AssignTargetPosition,invoke,2548,true
1,GetUAVState,query,227,true
1,GetAllUAVs,query,236,true
2,UpdateTelemetry,invoke,4080,true
2,AssignServiceRole,invoke,2517,true
2,RevokeServiceRole,invoke,3257,true
2,AssignBlockchainRole,invoke,4255,true
2,AssignTargetPosition,invoke,2591,true
2,GetUAVState,query,229,true
2,GetAllUAVs,query,245,true
3,UpdateTelemetry,invoke,4129,true
3,AssignServiceRole,invoke,2557,true
3,RevokeServiceRole,invoke,3186,true
3,AssignBlockchainRole,invoke,4073,true
3,AssignTargetPosition,invoke,4095,true
3,GetUAVState,query,228,true
3,GetAllUAVs,query,239,true
4,UpdateTelemetry,invoke,7316,true
4,AssignServiceRole,invoke,4078,true
4,RevokeServiceRole,invoke,2517,true
4,AssignBlockchainRole,invoke,4087,true
4,AssignTargetPosition,invoke,4053,true
4,GetUAVState,query,269,true
4,GetAllUAVs,query,238,true
5,UpdateTelemetry,invoke,2892,true
5,AssignServiceRole,invoke,2620,true
5,RevokeServiceRole,invoke,2501,true
5,AssignBlockchainRole,invoke,4158,true
5,AssignTargetPosition,invoke,4794,true
5,GetUAVState,query,268,true
5,GetAllUAVs,query,240,true
6,UpdateTelemetry,invoke,4561,true
6,AssignServiceRole,invoke,4067,true
6,RevokeServiceRole,invoke,2616,true
6,AssignBlockchainRole,invoke,2590,true
6,AssignTargetPosition,invoke,2540,true
6,GetUAVState,query,277,true
6,GetAllUAVs,query,240,true
7,UpdateTelemetry,invoke,6002,true
7,AssignServiceRole,invoke,3142,true
7,RevokeServiceRole,invoke,5471,true
7,AssignBlockchainRole,invoke,3045,true
7,AssignTargetPosition,invoke,4241,true
7,GetUAVState,query,271,true
7,GetAllUAVs,query,240,true
8,UpdateTelemetry,invoke,3715,true
8,AssignServiceRole,invoke,2735,true
8,RevokeServiceRole,invoke,3021,true
8,AssignBlockchainRole,invoke,2682,true
8,AssignTargetPosition,invoke,5692,true
8,GetUAVState,query,271,true
8,GetAllUAVs,query,242,true
9,UpdateTelemetry,invoke,2866,true
9,AssignServiceRole,invoke,3147,true
9,RevokeServiceRole,invoke,2503,true
9,AssignBlockchainRole,invoke,4031,true
9,AssignTargetPosition,invoke,2538,true
9,GetUAVState,query,262,true
9,GetAllUAVs,query,240,true
10,UpdateTelemetry,invoke,2602,true
10,AssignServiceRole,invoke,5836,true
10,RevokeServiceRole,invoke,2623,true
10,AssignBlockchainRole,invoke,2669,true
10,AssignTargetPosition,invoke,4053,true
10,GetUAVState,query,225,true
10,GetAllUAVs,query,246,true
