repetition,phase,phase_name,latency_ms
1,1,InitiateHandover,3281
1,2,SelectReplacement,2501
1,3,StartMigration,2605
1,4,CompleteMigration,2595
1,0,Total,10982
2,1,InitiateHandover,2562
2,2,SelectReplacement,4081
2,3,StartMigration,4219
2,4,CompleteMigration,4140
2,0,Total,15002
3,1,InitiateHandover,2609
3,2,SelectReplacement,4050
3,3,StartMigration,2550
3,4,CompleteMigration,4152
3,0,Total,13361
4,1,InitiateHandover,4053
4,2,SelectReplacement,2513
4,3,StartMigration,5518
4,4,CompleteMigration,2615
4,0,Total,14699
5,1,InitiateHandover,3921
5,2,SelectReplacement,2481
5,3,StartMigration,4063
5,4,CompleteMigration,2568
5,0,Total,13033
6,1,InitiateHandover,2485
6,2,SelectReplacement,4935
6,3,StartMigration,4663
6,4,CompleteMigration,4020
6,0,Total,16103
7,1,InitiateHandover,2603
7,2,SelectReplacement,2463
7,3,StartMigration,2524
7,4,CompleteMigration,3174
7,0,Total,10764
8,1,InitiateHandover,5828
8,2,SelectReplacement,2482
8,3,StartMigration,3092
8,4,CompleteMigration,2603
8,0,Total,14005
9,1,InitiateHandover,2552
9,2,SelectReplacement,2553
9,3,StartMigration,4707
9,4,CompleteMigration,2593
9,0,Total,12405
10,1,InitiateHandover,4066
10,2,SelectReplacement,2489
10,3,StartMigration,2537
10,4,CompleteMigration,2586
10,0,Total,11678
