repetition,tx1_result,tx2_result,conflict_detected,winning_position
1,MVCC_READ_CONFLICT,COMMITTED,true,42.5/-4.5/271
2,COMMITTED,MVCC_READ_CONFLICT,true,41.3/-4.7/99
3,MVCC_READ_CONFLICT,COMMITTED,true,42.2/-4.9/202
4,COMMITTED,MVCC_READ_CONFLICT,true,41.3/-5.4/101
5,MVCC_READ_CONFLICT,COMMITTED,true,42.0/-3.4/261
6,MVCC_READ_CONFLICT,COMMITTED,true,42.2/-4.9/276
7,COMMITTED,MVCC_READ_CONFLICT,true,41.3/-5.1/56
8,COMMITTED,MVCC_READ_CONFLICT,true,40.1/-4.9/136
9,COMMITTED,MVCC_READ_CONFLICT,true,41.9/-5.6/111
10,COMMITTED,MVCC_READ_CONFLICT,true,41.9/-5.2/104
